"FECHA" "CODIGO" "LATITUD" "LONGITUD" "ELEVACION" "ESTACION" "MUNICIPIO" "DEPARTAMENTO" "DATO"
"167" "15/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.6
"168" "16/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.9
"169" "17/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.6
"170" "18/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.6
"171" "19/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.4
"172" "20/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.2
"173" "21/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"174" "22/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.3
"175" "23/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.4
"176" "24/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"177" "25/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.6
"178" "26/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"179" "27/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.5
"180" "28/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"181" "29/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"182" "30/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.2
